BIC,Name
GENODE61WGA,VB Stutensee-Weingarten
SPSHDE31XXX,St Spk Sprockhövel
HOLVDEB1XXX,Holvi - Berlin
GENODEF1KU1,VR Bank Oberfranken Mitte
SDUEDE33XXX,Sparkasse Düren
PBNKDEFFXXX,Postbank Ndl DB PFK
GENODEF1AUB,VR Bank Augsburg-Ostallgäu
GENODEF1REF,Raiffeisenbank Regenstauf
HELADEF1HAN,SPARKASSE HANAU
NOLADE21BLK,Spk Burgenlandkreis
DRESDEFF505,Commerzbank Offenbach
GENODEF1NSH,VR Bk Ostholstein Nord-Plön
GENODE51LB1,Volksbank Lauterbach-Schl
GENODEF1ANS,VR-Bank Mittelfranken West
NOLADE21STS,Spk Stade-Altes Land
HYVEDEMM360,UniCredit Bank-HypoVereinsbank
HYVEDEMM447,UniCredit Bank-HypoVereinsbank
VBRSDE33XXX,Volksbank i.Bergischen Land
NOLADE21MEL,Kreissparkasse Melle
HYVEDEMM436,UniCredit Bank-HypoVereinsbank
GENODES1SCA,Scharnhauser Bank
FDDODEMMXXX,Fidor Bank München
GENODEF1GU1,Raiffbk Weißenburg-Gunzenh
GENODEF1NMS,VR Bank Neumünster
SSKMDEMMXXX,Stadtsparkasse München
SOBKDEBBXXX,solarisBank
MALADE51AKI,Sparkasse Westerwald-Sieg
SOLADES1ULM,Sparkasse Ulm
DGPBDE3MXXX,VerbundVolksbank OWL
HELADEF1FRI,Spk Oberhessen
SOLADES1TUT,Kr Spk Tuttlingen
GENODEF1GMR,Raiffeisenbank Grimma
WELADE3HXXX,Sparkasse HagenHerdecke
GENODED1AAC,Aachener Bank
WELADEDNXXX,Sparkasse Neuss
WELADED1LIP,Spk Lippstadt
SPBIDE3BXXX,Spk Bielefeld
MANSDE66XXX,Spk Rhein Neckar Nord
WELADED1MOL,Spk Märkisch-Oderland
GENODEF1VIT,VR Itzehoe Norderstedt
SSKNDE77XXX,Sparkasse Nürnberg
AABSDE31XXX,Aachener Bausparkasse
AACSDE33XXX,Sparkasse Aachen
AARBDE5W100,Aareal Bank
AARBDE5W200,Aareal Bank
AARBDE5W250,Aareal Bank
AARBDE5W360,Aareal Bank
AARBDE5W500,Aareal Bank
AARBDE5W550,Aareal Bank
AARBDE5W600,Aareal Bank
AARBDE5W700,Aareal Bank
AARBDE5W860,Aareal Bank
AARBDE5WCLE,Aareal Bank Clearing Wiesbaden
AARBDE5WDOM,Aareal Bank GF - BK01 -
AARBDE5WXXX,Aareal Bank
ABCADEFFXXX,ABC International Bank Frankfurt am Main
ABGRDEFFXXX,Piraeus Bank Frankfurt Branch
ABKBDEB1XXX,ABK Allgemeine Beamten Bank
ABOCDEFFXXX,"Agricultural Bank of China, Frankfurt Branch"
AGBMDEMMXXX,Airbus Bank
AKBADES1XXX,AKTIVBANK
AKBCDE31XXX,Santander Consumer Bank MG
AKBKDEFFXXX,AKBANK
AKFBDE31XXX,akf bank
ALTEDEFAXXX,ALTE LEIPZIGER Bauspar
ANHODE77PAY,Bankhaus Anton Hafner (Gf PayCenter)
ANHODE77XXX,Bankhaus Anton Hafner
ARABDEFFXXX,Europe ARAB Bank
AUDFDE21XXX,Audi Bank Zndl d Volkswagen Bank
AUGBDE71NET,Augsburger Aktienbank (netbank)
AUGBDE77XXX,Augsburger Aktienbank
AUGSDE77XXX,Stadtsparkasse Augsburg
AUSKDEFFXXX,AKA Ausfuhrkredit GmbH
AUZDDEM1XXX,Autobank
AXABDE31XXX,AXA Bank
BAERDEF1XXX,Bank Julius Bär Deutschland
BANVDEHB300,Oldenburgische Landesbank
BANVDEHB500,Oldenburgische Landesbank
BANVDEHBXXX,Oldenburgische Landesbank
BARCDEFFXXX,Barclays Bank Ireland Frankfurt Branch
BARCDEHAXXX,Barclays Bank Ireland Hamburg Branch
BBKRDE6BXXX,Kreissparkasse Böblingen
BBSPDE6KXXX,Deutsche Bausparkasse Badenia (ehem. DBS Bausparkasse)
BCDMDEF1XXX,BANQUE CHAABI DU MAROC Agentur Frankfurt Ndl. Deutschland
BCITDEFFMUC,INTESA SANPAOLO
BCITDEFFXXX,Intesa Sanpaolo Frankfurt
BCLSDE21XXX,Bankhaus C. L. Seeliger
BCMADEFFXXX,Attijariwafa bank Europa ZNdl. Frankfurt
BDWBDEMMXXX,Baader Bank
BEGODEHHXXX,"Joh. Berenberg, Gossler & Co"
BELADEBEXXX,Landesbank Berlin - Berliner Sparkasse
BEVODEBBXXX,Berliner Volksbank
BFSWDE33BER,Bank für Sozialwirtschaft
BFSWDE33DRE,Bank für Sozialwirtschaft
BFSWDE33HAN,Bank für Sozialwirtschaft
BFSWDE33KRL,Bank für Sozialwirtschaft
BFSWDE33LPZ,Bank für Sozialwirtschaft
BFSWDE33MAG,Bank für Sozialwirtschaft
BFSWDE33MNZ,Bank für Sozialwirtschaft
BFSWDE33MUE,Bank für Sozialwirtschaft
BFSWDE33STG,Bank für Sozialwirtschaft
BFSWDE33XXX,Bank für Sozialwirtschaft
BFWODE71XXX,BfW - Bank für Wohnungswirtschaft
BHBADES1XXX,"Bankhaus Bauer, Stuttgart"
BHFBDEFF100,BHF-BANK
BHFBDEFF200,BHF-BANK
BHFBDEFF250,BHF-BANK
BHFBDEFF300,BHF-BANK
BHFBDEFF500,ODDO BHF
BHFBDEFF510,BHF-BANK
BHFBDEFF550,BHF-BANK
BHFBDEFF600,BHF-BANK
BHFBDEFF700,BHF-BANK
BHLSDEM1XXX,Bankhaus Ludwig Sperrer
BHWBDE2HXXX,BHW Bausparkasse
BHYPDEB2XXX,Berlin Hyp
BILADE55XXX,Kreissparkasse Birkenfeld
BIWBDE33303,flatex Bank
BIWBDE33760,flatex Bank
BIWBDE33XXX,flatex Bank
BKCHDEFFHMB,Bank of China Fil Hamburg
BKCHDEFFXXX,Bank of China
BKMADE61XXX,Bankhaus E. Mayer
BKMZDE51XXX,Bausparkasse Mainz
BMWBDEMUXXX,BMW Bank
BNPADEFFXXX,BNP Paribas Niederlassung Deutschland
BNYMDEF1XXX,The Bank of New York Mellon NL Frankfurt
BOFADEFXVAM,"Bank of America, Filiale Frankfurt"
BOFADEFXXXX,Bank of America
BOFSDEB1XXX,Lloyds Bank
BOFSDEF1XXX,Lloyds Bank
BOTKDEDXXXX,MUFG Bank (Europe) Germany Branch
BOTKDEH1XXX,MUFG Bank (Europe) Germany Branch
BOURDEFFXXX,comdirect bank - GB onvista bank
BPKODEFFXXX,PKO Bank Polski Niederlassung Deutschland
BPNDDE52XXX,PSA Bank Deutschland
BRASDEFFXXX,Banco do Brasil
BRLADE21ANO,Sparkasse Aurich-Norden
BRLADE21BRK,Kreissparkasse Wesermünde-Hadeln -alt-
BRLADE21BRS,Weser-Elbe Sparkasse
BRLADE21CUX,Stadtsparkasse Cuxhaven
BRLADE21DHZ,Kreissparkasse Grafschaft Diepholz
BRLADE21EMD,Sparkasse Emden
BRLADE21LER,Sparkasse LeerWittmund
BRLADE21OHZ,Kreissparkasse Osterholz -alt-
BRLADE21ROB,Sparkasse Rotenburg Osterholz
BRLADE21SHL,Zweckverbandssparkasse Scheeßel
BRLADE21SYK,Kreissparkasse Syke
BRLADE21VER,Kreissparkasse Verden
BRLADE21WHV,Sparkasse Wilhelmshaven
BRLADE21WTM,Kreissparkasse Wittmund
BRLADE22OLD,Norddeutsche Landesbank - Girozentrale -
BRLADE22XXX,Norddeutsche Landesbank - Girozentrale -
BRUSDE66XXX,Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim
BSCHDEFFXXX,Banco Santander Filiale Frankfurt
BSHADE71XXX,Merkur Bank
BSHHDE61XXX,Bausparkasse Schwäbisch Hall
BSUIDEFFXXX,Credit Agricole CIB Deutschland
BSWLDE61XXX,Wüstenrot Bausparkasse
BTVADE61XXX,Bank für Tirol und Vorarlberg Deutschland
BVDHDEMMXXX,Bankhaus von der Heydt
BVWBDE2WXXX,net-m privatbank 1891
BYLADEM1001,Deutsche Kreditbank Berlin
BYLADEM1ABG,Sparkasse Amberg-Sulzbach
BYLADEM1AIC,Sparkasse Aichach-Schrobenhausen
BYLADEM1ALG,Sparkasse Allgäu
BYLADEM1ALR,"Sparkasse Riezlern, Kleinwalsertal"
BYLADEM1ANS,Sparkasse Ansbach
BYLADEM1AOE,Kreissparkasse Altötting-Burghausen -alt-
BYLADEM1ASA,Sparkasse Aschaffenburg Alzenau
BYLADEM1AUG,Kreissparkasse Augsburg
BYLADEM1BGL,Sparkasse Berchtesgadener Land
BYLADEM1CHM,Sparkasse im Landkreis Cham
BYLADEM1COB,Sparkasse Coburg-Lichtenfels
BYLADEM1DAH,Sparkasse Dachau
BYLADEM1DEG,Sparkasse Deggendorf
BYLADEM1DKB,Kreis- und Stadtsparkasse Dinkelsbühl -alt-
BYLADEM1DLG,Sparkasse Dillingen-Nördlingen
BYLADEM1DON,Sparkasse Donauwörth
BYLADEM1EBE,Kreissparkasse München Starnberg Ebersberg -alt-
BYLADEM1EGF,Sparkasse Rottal-Inn
BYLADEM1EIS,Sparkasse Eichstätt -alt-
BYLADEM1ERD,Kreis- und Stadtsparkasse Erding-Dorfen
BYLADEM1ERH,Stadt- u. Kreissparkasse Erlangen Höchstadt Herzogenaurach
BYLADEM1ESB,Vereinigte Sparkassen Eschenbach i d Opf
BYLADEM1FFB,Sparkasse Fürstenfeldbruck
BYLADEM1FIG,Sparkasse Hochfranken -alt-
BYLADEM1FOR,Sparkasse Forchheim
BYLADEM1FRG,Sparkasse Freyung-Grafenau
BYLADEM1FSI,Sparkasse Freising
BYLADEM1GAP,Kreissparkasse Garmisch-Partenkirchen
BYLADEM1GUN,Vereinigte Sparkassen Gunzenhausen
BYLADEM1GZK,Sparkasse Günzburg-Krumbach
BYLADEM1HAS,Sparkasse Ostunterfranken -alt-
BYLADEM1HOF,Sparkasse Hochfranken
BYLADEM1HOS,Kreissparkasse Höchstadt
BYLADEM1ING,Sparkasse Ingolstadt Eichstätt
BYLADEM1KEH,Kreissparkasse Kelheim
BYLADEM1KFB,Kreis- und Stadtsparkasse Kaufbeuren
BYLADEM1KIS,Sparkasse Bad Kissingen
BYLADEM1KMS,Kreissparkasse München Starnberg Ebersberg
BYLADEM1KSW,Sparkasse Schweinfurt-Haßberge
BYLADEM1KUB,Sparkasse Kulmbach-Kronach
BYLADEM1LAH,Sparkasse Landshut
BYLADEM1LLD,Sparkasse Landsberg-Dießen
BYLADEM1MDF,Sparkasse Altötting-Mühldorf
BYLADEM1MIB,Kreissparkasse Miesbach-Tegernsee
BYLADEM1MIL,Sparkasse Miltenberg-Obernburg
BYLADEM1MLM,Sparkasse Memmingen-Lindau-Mindelheim
BYLADEM1MSB,Stadt- und Kreissparkasse Moosburg
BYLADEM1NEA,Sparkasse im Landkreis Neustadt a.d. Aisch - Bad Windsheim
BYLADEM1NEB,Sparkasse Neuburg-Rain
BYLADEM1NES,Sparkasse Bad Neustadt a d Saale
BYLADEM1NLG,Sparkasse Nördlingen -alt-
BYLADEM1NMA,Sparkasse Neumarkt i d OPf-Parsberg
BYLADEM1NUL,Sparkasse Neu-Ulm-Illertissen
BYLADEM1PAF,Sparkasse Pfaffenhofen
BYLADEM1PAS,Sparkasse Passau
BYLADEM1RBG,Sparkasse Regensburg
BYLADEM1REG,Sparkasse Regen-Viechtach
BYLADEM1ROS,Sparkasse Rosenheim-Bad Aibling
BYLADEM1ROT,Stadt- und Kreissparkasse Rothenburg -alt-
BYLADEM1SAD,Sparkasse im Landkreis Schwandorf
BYLADEM1SBT,Sparkasse Bayreuth
BYLADEM1SFU,Sparkasse Fürth
BYLADEM1SKB,Sparkasse Bamberg
BYLADEM1SOG,Kreissparkasse Schongau -alt-
BYLADEM1SRG,Sparkasse Niederbayern-Mitte
